Position in alignment, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1895,17.02868,17.6761,3.769418,15.76653,5.036805
1897,17.16371,17.67153,3.773196,15.84309,5.078155
1899,17.27852,17.68406,3.783916,15.73663,5.086213
1901,17.39033,17.70421,3.790769,15.72076,5.140391
1903,17.65251,17.85136,3.821072,15.99098,5.314024
1905,17.62902,17.79391,3.844495,15.99098,5.296027
1907,17.58811,17.63729,3.849918,15.93117,5.221718
1909,17.54425,17.62612,3.855675,15.87689,5.144153
1911,17.47964,17.6381,3.835503,15.87979,5.104764
1913,17.41356,17.64336,3.820738,15.77748,5.104825
1915,16.83293,17.65085,3.768157,15.59504,5.034723
1917,16.68052,17.40564,3.682595,15.59225,5.026042
1919,16.53998,17.21984,3.593251,15.52104,4.942903
1921,16.23851,17.03372,3.543385,15.45445,4.839166
1923,16.1256,16.97034,3.493505,15.43131,4.761014
1925,15.83846,16.88609,3.425365,15.32805,4.78452
1927,15.55093,16.65699,3.365927,15.14737,4.706484
1929,15.29739,16.50115,3.310791,14.87494,4.589741
1931,15.15525,16.39276,3.21749,14.77895,4.506594
1933,14.60674,15.8832,3.162393,14.05043,4.248373
1935,14.56668,15.73522,3.090067,13.8054,4.09074
1937,14.60643,15.67725,3.096476,13.73456,3.973596
1939,14.66055,15.5781,3.097627,13.71928,3.933357
1941,14.70191,15.53516,3.065155,13.65425,3.993752
1943,14.74944,15.54571,3.019864,13.55918,3.973081
1945,14.76312,15.29436,2.951241,13.40259,3.893558
1947,15.01801,15.48575,2.949005,13.64126,3.927505
1949,15.1018,15.43366,3.018538,13.56431,3.895033
1951,15.1714,14.86309,3.039501,13.35084,3.79391
1953,15.20827,14.79591,3.060096,13.14734,3.615595
1955,15.17313,14.55704,3.036418,12.92802,3.630194
1957,15.26979,14.65269,3.058712,12.98633,3.683222
1959,15.92796,14.88167,3.258983,13.42457,3.854581
1961,16.50829,14.96766,3.314438,13.54175,4.008424
1963,16.86953,15.05678,3.39158,13.67704,4.131553
1965,16.97726,15.06295,3.391357,13.7756,4.168067
1967,17.08551,15.10813,3.394759,13.79884,4.174477
1969,17.21111,15.24956,3.440922,13.87588,4.251803
1971,17.06888,15.31228,3.500047,13.97379,4.213761
1973,17.10926,15.26743,3.551007,13.94129,4.164909
1975,17.2825,15.40114,3.529149,13.94056,4.183208
1977,17.49792,15.45452,3.479843,13.93952,4.235198
1979,17.82115,15.51199,3.482723,14.01835,4.202888
1981,18.11476,15.49604,3.488271,13.99304,4.177883
1983,18.50134,15.47214,3.487865,14.07334,4.186679
1985,19.01656,15.52611,3.481832,14.1359,4.216123
1987,19.53455,15.55727,3.490796,14.20151,4.231318
1989,19.95789,15.65638,3.437334,14.24935,4.197786
1991,20.29398,15.66215,3.430181,14.30484,4.20852
1993,20.60161,15.6423,3.440972,14.36733,4.192166
1995,20.87457,15.62972,3.44718,14.41567,4.17435
1997,21.14785,15.61511,3.45045,14.40241,4.156433
1999,21.42311,15.58573,3.486044,14.44004,4.138689
2001,21.69934,15.56263,3.392628,14.47458,4.144583
2003,21.80702,15.63743,3.301559,14.50983,4.161556
2005,21.87535,15.63357,3.276617,14.54332,4.079048
2007,21.94235,15.59902,3.270842,14.47681,4.05572
2009,22.01891,15.59476,3.210849,14.39425,4.014678
2011,22.06774,15.45611,3.084698,14.3043,3.998462
2013,22.10053,15.36285,3.036149,14.27955,4.117425
2015,22.12344,15.31872,3.071066,14.28028,4.175633
2017,22.14993,15.27847,3.04642,14.31655,4.302762
2019,22.14898,15.2247,2.94361,14.28354,4.257534
2021,22.13416,15.14621,2.926348,14.33617,4.283851
2023,22.09807,15.07299,2.895827,14.2564,4.274457
2025,22.05365,15.0454,2.886575,14.14121,4.206557
2027,21.9671,15.01785,2.843185,13.99159,4.152404
2029,21.87949,14.82396,2.801557,13.95101,4.061487
2031,21.79142,14.59231,2.749135,13.88068,3.929826
2033,21.68547,14.48651,2.725499,13.80745,3.866749
2035,21.45965,14.41771,2.595592,13.70603,3.804127
2037,21.16899,14.50466,2.601761,13.74711,3.880914
2039,20.78699,14.61357,2.632757,13.75271,3.876673
2041,20.51725,14.80495,2.668952,13.81732,3.810055
2043,20.45251,14.83247,2.671077,13.71226,3.980881
2045,20.47525,15.32236,2.677056,13.67798,3.910782
2047,20.12589,15.12911,2.679693,13.79872,3.984713
2049,19.90798,15.2017,2.718608,13.94166,4.025074
2051,19.80334,15.34625,2.813211,13.99843,4.133903
2053,19.68456,15.41504,2.928418,14.11697,4.146932
2055,19.53159,15.39343,2.850918,14.07955,4.141007
2057,19.35645,15.47537,2.733606,14.12361,4.16894
2059,18.74477,15.46743,2.734263,14.13333,4.135439
2061,18.6692,15.38156,2.762855,14.04635,4.087372
2063,18.61644,15.37881,2.793108,13.97948,4.138152
2065,18.56257,15.38417,2.815739,13.95605,4.160047
2067,18.52129,15.40348,2.82999,13.93407,4.223811
2069,18.52398,15.4574,2.86286,13.98977,4.220886
2071,18.5284,15.48245,2.857882,14.05505,4.22431
2073,18.53536,15.612,2.836806,14.06438,4.203919
2075,18.55419,15.66553,2.814455,14.07457,4.299957
2077,18.5987,15.81662,2.94886,14.18217,4.328786
2079,18.66578,15.85487,2.952106,14.26999,4.371239
2081,18.79183,16.03251,3.085295,14.39916,4.383157
2083,18.97162,16.13467,3.209017,14.51213,4.40787
2085,19.20823,16.12068,3.202287,14.58864,4.388691
2087,19.44484,16.17201,3.338806,14.63006,4.506028
2089,19.67085,16.18292,3.371196,14.6636,4.533178
2091,19.83937,16.19692,3.357617,14.69418,4.528277
2093,20.01697,16.21071,3.498576,14.71398,4.516857
2095,20.12028,16.24978,3.496827,14.72416,4.508568
2097,20.24871,16.27376,3.496259,14.732,4.599282
2099,20.63573,16.22032,3.504558,14.79908,4.658029
2101,21.10568,16.29284,3.519194,14.98918,4.761665
2103,21.50521,16.36176,3.530682,14.90832,4.740436
2105,21.63471,16.22664,3.535579,14.8804,4.743433
2107,21.77096,16.12013,3.544534,14.858,4.725308
2109,21.9072,16.0425,3.553587,14.88566,4.710885
2111,22.04345,16.18514,3.562738,14.91409,4.696462
2113,22.30525,16.21629,3.586592,14.96941,4.698997
2115,22.69156,16.21056,3.613307,15.10267,4.752579
2117,22.89199,16.289,3.621973,15.19926,4.808251
2119,23.11451,16.28551,3.634031,15.23851,4.854567
2121,23.55774,16.24151,3.638935,15.30236,4.903983
2123,23.78045,16.31118,3.644142,15.37721,4.939445
2125,23.97095,16.38044,3.651484,15.38474,4.952509
2127,24.12391,16.37053,3.660962,15.41539,5.030476
2129,24.26525,16.3665,3.670439,15.5038,5.085658
2131,24.55771,16.4791,3.693101,15.62981,5.121315
2133,24.96843,16.67806,3.727215,15.77746,5.209045
2135,25.416,16.93178,3.849651,15.91029,5.342195
2137,25.72849,17.06426,3.878435,16.04864,5.420782
2139,25.90067,17.40235,3.853178,16.15392,5.480821
2141,25.99498,17.78143,3.854836,16.40227,5.637854
2143,26.06842,18.26789,4.20092,16.57683,5.710036
2145,26.05833,18.31071,4.142874,16.59043,5.809319
2147,25.82265,18.17704,3.956114,16.35919,5.668159
2149,25.68851,18.15428,3.969037,16.2959,5.594724
2151,25.6058,18.15059,3.916039,16.14667,5.566451
2153,25.49374,18.06838,3.917882,16.1502,5.533919
2155,25.49231,17.95349,3.927899,16.0543,5.514164
2157,25.49913,17.89408,3.97115,15.99101,5.480525
2159,25.07417,17.38777,3.837919,15.64373,5.217302
2161,24.70774,17.29213,3.858071,15.60029,5.136247
2163,24.49474,17.14954,3.85845,15.4493,5.10002
2165,24.51317,17.05192,3.925097,15.22011,5.155775
2167,24.50745,16.99611,3.961231,15.11621,5.115832
2169,24.48168,16.94662,3.955745,15.20235,5.069053
2171,24.45188,17.08971,4.034531,15.22741,5.180287
2173,24.43271,17.22952,3.992566,15.46107,5.209845
2175,24.3895,17.34813,3.917198,15.48204,5.213904
2177,24.26653,17.49797,3.860512,15.6081,5.215933
2179,24.16377,17.65873,3.947309,15.56846,5.210213
2181,24.26122,17.80155,4.122617,15.67378,5.236222
2183,24.0489,17.86197,4.148075,15.79074,5.248755
2185,23.66993,17.72807,4.123437,15.86265,5.191208
2187,23.25094,17.58381,4.106233,15.83066,5.204061
2189,22.92099,17.44466,4.099288,15.77346,5.215
2191,22.77095,17.33705,4.093037,15.81878,5.222736
2193,22.73643,17.44705,4.041171,15.82682,5.231588
2195,22.4911,17.52785,3.945413,15.83056,5.28926
2197,22.24545,17.67422,3.98936,15.83492,5.270273
2199,22.02398,17.88443,4.030455,15.87411,5.241634
2201,21.88076,17.90439,3.865953,15.96086,5.352166
2203,21.90415,18.07329,3.873454,16.01578,5.45061
2205,21.90942,18.29848,3.889931,16.10329,5.499442
2207,21.91933,18.5536,3.903344,16.27955,5.608582
2209,21.91803,18.52857,3.905586,16.3724,5.674121
2211,22.00127,18.75179,3.913585,16.53863,5.663682
2213,22.18822,18.79423,4.010785,16.86738,5.669314
2215,22.70149,19.28939,4.188496,17.23282,5.880577
2217,23.06315,19.36781,4.27521,17.34516,5.861368
2219,23.50958,19.38954,4.36871,17.49608,5.94662
2221,24.05288,19.34193,4.534491,17.6667,5.9991
2223,24.53375,19.66093,4.823487,17.67861,6.138037
2225,24.88223,19.6714,4.801793,17.72421,6.172066
2227,25.10938,19.60227,4.783153,17.83212,6.195867
2229,25.29152,19.42115,4.761897,17.72952,6.16448
2231,25.45842,19.30271,4.729133,17.71882,6.179957
2233,25.6275,19.2778,4.774211,17.75072,6.160007
2235,25.71027,19.30841,4.75824,17.69317,6.129103
2237,25.75761,19.61874,4.53423,17.57355,6.198607
2239,25.7661,19.69537,4.594085,17.44626,6.15293
2241,25.63704,19.59499,4.524279,17.42809,6.133175
2243,25.42284,19.5333,4.479645,17.14224,6.106777
2245,25.23956,19.37747,4.423896,17.01865,6.054218
2247,25.16662,19.28981,4.442739,16.88543,6.012602
2249,25.20874,19.08146,4.471435,16.82244,5.983865
2251,25.70872,19.35856,4.499572,17.13499,6.031383
2253,25.67839,19.29324,4.497559,17.16613,6.000186
2255,25.66433,19.20853,4.394907,17.08689,6.013711
2257,25.64821,19.04156,4.288701,17.13976,6.020538
2259,25.62397,18.93118,4.252002,17.13196,5.977953
2261,25.59101,19.26368,4.229408,17.0818,5.984524
2263,25.55198,19.27979,4.238426,17.23807,5.947586
2265,25.54254,19.15628,4.234408,17.24313,6.02449
2267,25.54165,18.78118,4.236551,17.24138,6.021547
2269,25.52014,18.79901,4.245589,17.21625,6.033768
2271,25.52162,19.38096,4.775152,17.51053,6.121254
2273,25.52027,19.57939,4.937111,17.61633,6.208613
2275,25.49659,19.78923,5.040897,17.70512,6.128564
2277,25.42254,19.89619,4.936313,17.64893,6.15458
2279,25.32279,20.01508,4.817297,17.58769,6.098808
2281,25.16812,19.88557,4.691335,17.44907,6.057887
2283,24.94201,19.86386,4.724335,17.35784,6.054853
2285,24.65306,19.88513,4.820481,17.37208,6.037781
2287,24.35842,19.83784,4.846511,17.45232,6.024951
2289,24.08751,19.82551,4.809436,17.45505,6.033486
2291,23.88181,19.83112,4.78742,17.55178,6.017988
2293,23.67478,19.79151,4.76206,17.60077,6.020494
2295,23.42205,19.74148,4.736153,17.64122,6.029591
2297,23.13386,19.70246,4.707032,17.60936,6.008431
2299,22.57671,19.69629,4.678357,17.39732,5.966733
2301,21.92997,19.65205,4.552529,17.08546,5.917915
2303,21.20022,19.30185,4.500824,16.99779,5.830125
2305,21.009,19.19527,4.49848,16.98817,5.817182
2307,20.81779,19.1496,4.496186,17.00112,5.806984
2309,20.6275,19.10394,4.503067,17.01409,5.791434
2311,20.43814,19.05829,4.528882,17.02163,5.772232
2313,20.15656,19.01997,4.538254,17.0125,5.724298
2315,19.75048,18.9979,4.547141,16.9309,5.719492
2317,19.53064,18.88647,4.547441,16.86865,5.674846
2319,19.29981,18.94577,4.498621,16.84611,5.708114
2321,18.86206,18.97029,4.478925,16.75586,5.681288
2323,18.5975,18.98789,4.453628,16.74396,5.689697
2325,18.35083,18.99445,4.434564,16.6863,5.661676
2327,18.13683,18.99503,4.43486,16.79307,5.660492
2329,17.93113,19.05452,4.468695,16.82169,5.681082
2331,17.72159,19.53614,4.713649,17.2804,5.86745
2333,17.2011,19.42523,4.81673,17.13532,5.884612
2335,16.63103,19.32738,4.690141,16.84874,5.814604
2337,16.19076,19.13087,4.661214,16.76805,5.760729
2339,15.8871,18.91908,4.669067,16.69919,5.737602
2341,15.65483,18.68518,4.586717,16.38648,5.596212
2343,15.44648,18.39548,4.316805,16.11841,5.497638
2345,15.30551,18.27175,4.218901,16.06968,5.483994
2347,15.21189,18.32853,4.221466,16.06968,5.512828
2349,15.12947,18.29755,4.210109,16.09965,5.525205
2351,15.05267,18.28501,4.080086,16.16646,5.494732
2353,15.00008,18.27548,3.985976,16.11452,5.453644
2355,14.86341,18.46214,4.179328,16.33036,5.563384
2357,14.71075,18.56686,4.335235,16.34207,5.616633
2359,14.42766,18.58515,4.308821,16.38204,5.65219
2361,14.16332,18.5909,4.347846,16.42785,5.670213
2363,13.96503,18.61376,4.469009,16.57171,5.738392
2365,13.85335,19.26185,4.705449,16.9461,5.924834
2367,13.75855,19.68592,4.838572,17.13087,6.078957
2369,13.63153,19.71851,4.805662,17.238,6.064304
2371,13.50454,19.59912,4.683413,17.16383,6.020183
2373,13.35068,19.46918,4.647965,17.16812,5.98342
2375,13.18355,19.47509,4.618222,17.11349,5.996517
2377,13.05891,19.23961,4.650718,17.12371,6.007959
2379,12.9267,19.4329,4.874915,17.19507,6.137411
2381,13.34891,19.35131,4.864414,17.46629,6.174833
2383,13.45068,19.39251,4.863523,17.50698,6.269685
2385,13.45145,19.44514,4.885349,17.59849,6.306346
2387,13.39658,19.44934,4.984329,17.70671,6.300622
2389,13.29738,19.48625,5.039917,17.88831,6.360118
2391,13.1141,19.5096,4.964352,17.72333,6.405443
2393,12.84636,19.53512,5.043092,17.57483,6.4043
2395,12.82046,19.56837,5.080613,17.65462,6.400657
2397,12.79907,19.58583,5.071725,17.69114,6.449993
2399,12.75598,19.60491,5.063004,17.73917,6.455904
2401,12.63285,19.58477,5.045355,17.75991,6.463817
2403,12.51083,19.52932,5.022048,17.57156,6.419094
2405,12.43952,19.51044,5.083694,17.62741,6.373111
2407,12.39617,19.47503,5.054669,17.55516,6.391105
2409,12.30651,19.21475,4.979158,17.43299,6.397253
2411,12.14812,18.98914,4.968565,17.19353,6.357682
2413,11.90184,18.80005,4.701719,16.99472,6.117202
2415,11.33962,18.36791,4.190836,16.60221,5.651882
2417,10.9242,18.34126,4.13605,16.51512,5.621315
2419,10.41791,18.30169,4.098532,16.35953,5.514219
2421,9.983342,18.16437,4.05422,16.2981,5.411645
2423,9.514393,17.96598,4.010894,16.28651,5.358088
2425,9.094214,17.86537,4.00561,16.0542,5.322571
2427,8.833854,17.88329,4.042253,16.16913,5.296846
2429,8.589036,17.99072,4.114386,16.12508,5.270913
2431,8.330004,17.95152,4.132783,16.17974,5.261155
2433,8.072577,17.94139,4.145393,16.12431,5.222743
2435,7.906578,17.8985,4.261252,16.36519,5.238406
2437,7.776641,18.16562,4.342788,16.3464,5.235348
2439,7.848958,18.23363,4.261998,16.40968,5.234743
2441,7.949616,18.49596,4.35985,16.42926,5.276107
2443,8.041152,18.82323,4.368371,16.48541,5.399059
2445,8.068105,19.13442,4.376096,16.70873,5.485357
2447,7.960534,19.17275,4.518071,16.78234,5.547776
2449,7.768307,19.19742,4.461853,16.75916,5.561897
2451,7.161474,19.06125,4.197139,16.59011,5.409523
2453,7.102836,18.84113,4.307759,16.62155,5.398754
2455,7.048305,18.81411,4.322883,16.6034,5.404635
2457,7.003757,18.80648,4.307327,16.63454,5.55259
2459,6.961719,18.77401,4.313351,16.86121,5.651908
2461,6.918491,18.92408,4.348384,16.89956,5.755922
2463,6.879649,19.11566,4.327437,17.03576,5.748792
2465,6.859089,19.37046,4.383843,17.19764,5.867239
2467,6.926701,19.81531,4.633349,17.69107,6.160588
2469,7.031639,19.77037,4.539449,17.75305,6.204208
2471,7.126707,19.52312,4.479397,17.71493,6.064326
2473,7.238201,19.27258,4.423801,17.70185,5.997995
2475,7.56568,19.21848,4.382135,17.68613,6.099793
2477,7.843191,19.29844,4.496152,17.93886,6.147223
2479,8.058094,19.78741,4.572623,18.22627,6.439615
2481,8.121426,19.988,4.580214,18.19463,6.502931
2483,8.199039,20.06273,4.591147,18.252,6.404211
2485,8.299996,19.94108,4.608325,18.34852,6.451469
2487,8.414606,20.11104,4.731332,18.41415,6.628414
2489,8.503177,20.5559,4.677637,18.44608,6.677186
2491,8.578251,20.85169,4.861207,18.70426,6.717364
2493,8.676941,20.90596,4.866327,18.70057,6.674222
2495,8.785842,20.78487,4.92992,18.70086,6.719407
2497,8.8899,20.64139,5.023434,18.67526,6.801525
2499,8.989116,20.55722,5.028758,18.68985,6.802513
2501,9.09498,20.57381,5.031551,18.75867,6.777503
2503,9.21071,20.62261,5.03781,18.8274,6.848086
2505,9.336042,20.71022,5.047542,18.8854,6.86868
2507,9.830102,20.89057,5.222228,19.01375,6.938298
2509,10.22857,21.11058,5.275383,19.12154,7.015639
2511,10.3279,21.15658,5.267045,19.19072,7.036231
2513,10.39591,21.18303,5.25241,19.22899,7.061472
2515,10.53793,21.21363,5.24184,19.21674,7.097897
2517,10.88329,21.24836,5.234607,19.24335,7.145504
2519,10.93685,21.27429,5.225955,19.10241,7.128882
2521,10.97746,21.32389,5.222745,19.23004,7.118566
2523,11.0036,21.39143,5.220075,19.30148,7.200947
2525,11.18299,21.49653,5.253072,19.34592,7.16462
2527,11.34947,21.58177,5.280913,19.29881,7.126647
2529,11.50303,21.64716,5.303599,19.15492,7.087027
2531,11.57943,21.48776,5.122033,18.80346,6.995527
2533,11.7713,20.83891,5.144574,18.81986,6.960484
2535,11.91315,20.7985,5.16483,18.76878,6.893672
2537,12.06215,20.75405,5.199075,18.64323,6.89039
2539,12.21116,20.71056,5.23332,18.52912,6.949205
2541,12.50406,20.77662,5.267565,18.62282,6.931759
2543,12.72047,20.93511,5.337125,18.58596,6.951727
2545,12.92567,21.08151,5.521117,18.60003,6.903219
2547,13.13089,21.16343,5.557002,18.57226,6.906044
2549,13.32124,21.11259,5.559682,18.63727,6.88679
2551,13.52959,21.11513,5.586368,18.60583,6.841204
2553,13.68319,21.36301,5.562133,18.73859,6.81782
2555,13.8346,21.28344,5.500331,18.60968,6.832144
2557,13.9916,21.21183,5.415936,18.64914,6.681014
2559,14.66741,20.98334,5.308949,18.57368,6.659458
2561,15.28909,21.34669,5.210196,18.82407,6.66411
2563,15.31349,21.29504,5.102233,18.49666,6.684084
2565,15.26565,20.34868,4.840591,17.72089,6.243447
2567,15.2251,20.00938,4.820797,17.57184,6.1361
2569,15.21627,19.89306,4.817726,17.55955,6.088284
2571,15.20891,20.05503,4.895556,17.60883,6.103873
2573,15.20181,20.16912,4.946924,17.50185,6.116266
2575,15.19475,20.27692,4.976066,17.51352,6.148713
2577,15.18835,20.23404,4.957237,17.43647,6.167089
2579,15.06204,20.07344,4.913924,17.35098,6.153452
2581,14.2081,19.87196,4.854125,17.27177,6.026867
2583,14.01181,20.10902,4.926452,17.81342,6.34086
2585,13.88178,20.14202,4.948927,17.79766,6.477186
2587,13.82167,20.16201,4.948139,17.85757,6.538881
2589,13.80568,20.19839,4.945763,17.95531,6.580264
2591,13.79453,20.19204,5.136482,17.94403,6.614874
2593,13.79997,20.43233,5.410465,18.03773,6.703604
2595,13.81731,20.61788,5.444905,18.23538,6.75
2597,13.89823,20.875,5.442293,18.4738,6.981096
2599,14.03232,21.02731,5.480367,18.58312,7.12289
2601,14.14413,21.04803,5.502827,18.61831,7.18193
2603,14.17748,21.0136,5.490668,18.61907,7.134119
2605,14.1789,20.90332,5.394115,18.47062,7.057829
2607,14.1484,20.79802,5.361525,18.38691,6.991406
2609,14.26768,20.75825,5.341575,18.35238,6.975662
2611,14.3108,20.71855,5.309875,18.31786,6.960591
2613,14.27775,20.67894,5.266857,18.32919,6.946416
2615,14.2475,20.62736,5.218863,18.34561,6.935976
2617,14.21823,20.62339,5.186062,18.36485,6.920226
2619,14.19122,20.56495,5.179663,18.40331,6.91127
2621,13.99599,20.43257,5.188452,18.45263,6.927338
2623,13.87722,20.31336,5.19404,18.42792,6.940928
2625,13.83794,20.161,5.197836,18.36456,6.993716
2627,13.81128,20.49586,5.196178,18.35693,7.04832
2629,13.80139,20.54461,5.18278,18.31051,7.022771
2631,13.81488,20.58047,5.179886,18.22437,7.022944
2633,13.82388,20.62088,5.169177,18.17388,7.04105
2635,13.81777,20.60869,5.154208,18.28101,7.040411
2637,13.8046,20.76714,5.131335,18.42401,7.00253
2639,13.62919,20.66768,5.368659,18.54738,7.111583
2641,13.42998,20.55788,5.411265,18.56338,7.110823
2643,13.23863,20.67123,5.402996,18.56635,7.06143
2645,13.10702,20.36028,5.369998,18.42264,6.923694
2647,13.09941,20.34357,5.225677,18.38302,6.907517
2649,13.09181,20.34426,5.006026,18.37418,6.884129
2651,13.09162,20.32837,5.022559,18.28759,6.854215
2653,13.09665,20.47384,5.042092,18.20898,6.759588
2655,13.108,20.57122,5.085314,18.3736,6.936996
2657,13.11519,20.44833,5.115474,18.23162,6.892197
2659,13.12154,20.06829,5.138362,18.16037,6.657812
2661,13.12246,19.99663,4.874965,18.00895,6.508016
2663,13.11897,20.12378,4.845155,18.32881,6.516544
2665,13.09724,19.98149,4.878968,18.15553,6.421301
2667,13.00266,19.6314,4.822279,17.57759,6.060676
2669,12.9192,19.5256,4.905952,17.40042,6.023199
2671,12.85371,19.40742,4.889308,17.42721,6.003995
2673,12.77453,19.33483,4.84093,17.3707,6.051617
2675,12.47631,19.05978,4.639738,17.10844,5.850825
2677,12.23789,18.95334,4.434964,16.9331,5.848926
2679,12.08093,18.65007,4.487459,16.93483,5.669515
2681,12.33943,18.9842,4.421414,17.27021,5.918555
2683,12.52962,19.21317,4.181268,17.48534,5.977842
2685,12.47758,19.6282,4.575296,17.87704,6.060283
2687,12.39768,19.6893,4.878948,18.13762,6.061122
2689,12.32897,19.74411,4.820303,17.99839,6.024433
2691,12.26035,19.84852,4.733315,17.75681,5.976531
2693,12.15329,20.00794,4.703065,17.82929,6.081848
2695,12.06775,19.8187,4.675234,18.07824,6.228905
2697,11.96039,19.94672,4.70393,18.16579,6.266756
2699,11.85824,20.01933,4.771537,18.22114,6.304268
2701,11.75477,20.15508,4.824317,18.22897,6.303277
2703,11.64166,20.16436,4.79814,18.45539,6.279499
2705,11.51992,20.26845,4.834896,18.40547,6.346274
2707,11.02805,20.28933,4.803014,18.45382,6.371557
2709,10.62946,20.34854,4.795998,18.49956,6.369318
2711,10.53205,20.50687,4.818018,18.58899,6.413488
2713,10.43666,20.62393,4.844487,18.68757,6.39318
2715,10.27341,20.45332,5.020928,18.81708,6.334364
2717,9.902157,20.33286,5.183162,18.88853,6.303843
2719,9.801177,20.38593,5.220299,18.9264,6.331509
2721,9.698676,20.44224,5.255558,18.84205,6.337852
2723,9.639669,20.84618,5.560844,19.25196,6.442822
2725,9.414444,20.89914,5.731042,19.27961,6.529751
2727,9.203606,20.97606,5.759812,19.33644,6.635487
2729,8.994237,21.32754,5.791222,19.40058,6.799617
2731,8.749855,21.46936,5.832889,19.49664,6.841665
2733,8.584888,21.62839,5.884811,19.61551,6.887466
2735,8.673834,21.85111,5.802851,19.74536,7.040836
2737,8.754525,21.87641,5.916245,19.86404,7.057917
2739,8.685273,22.16608,6.159625,20.45225,7.148089
2741,8.467629,22.37537,6.282892,20.479,7.220909
2743,8.31283,22.4588,6.372639,20.52118,7.293025
2745,8.160699,22.58898,6.443223,20.48821,7.28496
2747,8.008569,22.53211,6.480029,20.55564,7.337913
2749,7.865664,22.57404,6.449614,20.54534,7.380404
2751,7.763958,22.9485,6.443028,20.7021,7.531569
2753,7.656912,23.20938,6.420841,20.69023,7.627872
2755,7.577378,23.27415,6.399061,20.69821,7.726834
2757,7.502065,23.2927,6.404135,20.78339,7.822608
2759,6.891539,23.54306,6.378372,20.86772,7.844065
2761,6.346201,23.58536,6.400754,20.53856,7.820623
2763,6.413003,23.60866,6.408776,20.55416,7.769167
2765,6.475047,23.67485,6.436603,20.82654,7.773921
2767,6.52465,23.77404,6.408112,20.90211,7.778397
2769,6.629278,23.78249,6.378288,20.88933,7.874206
2771,6.730623,23.9402,6.347525,20.89059,7.872907
2773,6.838959,23.5759,6.303168,20.90987,7.850979
2775,7.508777,23.3368,6.327621,20.89602,7.830769
2777,7.924444,23.35248,6.560628,20.9034,7.830205
2779,8.086529,23.30114,6.726519,20.91241,7.846402
2781,8.211637,23.10923,6.728312,20.88463,7.798149
2783,8.272252,22.6888,6.230599,20.15552,7.419605
2785,8.444929,23.35285,6.188604,20.64433,7.527907
2787,8.744859,23.65877,6.334315,20.69365,7.561415
2789,9.057672,23.92995,6.385867,20.70481,7.649953
2791,9.378083,24.09465,6.396255,20.67904,7.61385
2793,9.630729,24.06534,6.359783,20.57906,7.568697
2795,9.875095,23.93647,6.316249,20.41221,7.481414
2797,10.05138,23.75894,6.107131,20.28053,7.410191
2799,10.3776,23.99062,6.057995,20.37093,7.37356
2801,10.90223,24.34317,6.09225,20.66695,7.458121
2803,11.61559,24.36015,6.092982,20.74099,7.471792
2805,11.73948,24.3609,6.083121,20.79325,7.569831
2807,11.86337,24.36165,6.060716,20.8455,7.64578
2809,11.88925,24.3807,6.053179,20.89894,7.645705
2811,11.98465,24.39947,6.062087,21.00829,7.711015
2813,12.15319,24.39989,6.104325,21.06967,7.774522
2815,12.30845,24.39197,6.128056,21.0496,7.776234
2817,12.44531,24.37662,6.114328,21.0357,7.727107
2819,12.5881,24.4664,6.134854,21.01946,7.700382
2821,12.71903,24.34315,6.154023,21.03199,7.672945
2823,13.12623,24.31083,6.16882,20.98545,7.719114
2825,13.61909,24.22192,6.187459,21.03529,7.764868
2827,13.97144,24.19137,5.99403,20.9526,7.728155
2829,14.37254,24.11201,5.985256,20.96475,7.644181
2831,14.71075,23.74972,6.032729,20.88536,7.648808
2833,14.99812,23.84684,6.165502,20.9428,7.664411
2835,15.24308,23.75999,6.245162,20.9392,7.643105
2837,15.40409,23.76749,6.274154,20.89991,7.531826
2839,15.56328,23.53953,6.277197,20.68611,7.261994
2841,15.70776,23.23347,6.264265,20.43721,7.189293
2843,15.82103,23.17892,6.221411,20.69391,7.189703
2845,15.89651,23.3639,6.267201,20.88397,7.270229
2847,15.96124,23.46782,6.304311,21.00642,7.54429
2849,16.1007,23.5281,6.468566,21.13488,7.669096
2851,16.23321,23.64536,6.590538,21.26727,7.711691
2853,16.27032,23.7604,6.62359,21.43586,7.92947
2855,16.30411,23.76472,6.649621,21.41763,7.997651
2857,16.3023,23.74077,6.677701,21.36547,7.999013
2859,16.29496,23.63209,6.687793,21.21242,7.924654
2861,16.29278,23.41931,6.68303,21.22379,7.808139
2863,16.28873,23.35584,6.615266,20.9373,7.679605
2865,16.28244,23.34545,6.351783,20.69528,7.641169
2867,16.27666,23.38557,6.368806,20.57781,7.635349
2869,16.23892,23.21812,6.370725,20.4996,7.52912
2871,16.16962,23.20973,6.320684,20.43129,7.610845
2873,16.11235,23.19157,6.274354,20.527,7.656117
2875,16.08296,23.1656,6.271493,20.55455,7.611143
2877,16.07417,23.09304,6.256175,20.46456,7.678634
2879,16.04631,23.03799,6.00359,20.47542,7.609027
2881,15.73813,22.80876,5.725545,19.80354,7.375426
2883,15.67647,22.64038,5.763031,19.96269,7.278478
2885,15.69412,22.30207,5.750283,19.85507,7.200848
2887,15.70059,22.27938,5.801099,20.01221,7.174519
2889,15.6874,22.07171,5.860018,19.98167,7.113633
